State,2011,2012,2013,2014,2015,2016,2017,2018
Alabama,38076,39796,39554,41460,42941,43821,45598,48101
Alaska,31861,32805,32770,33855,34945,35382,36474,38215
Arizona,48123,49449,48142,50995,52381,51194,51751,54430
Arkansas,31712,32834,33005,34501,35591,36490,38196,39955
California,30788,33039,32750,34621,35516,36185,37443,39171
Colorado,40624,42890,42651,45171,47798,49601,51644,54800
Connecticut,38484,40420,41578,44493,45521,45492,48341,51405
Delaware,54909,55794,53357,55911,57281,59090,60909,65063
District of Columbia,39149,39402,39377,40912,42484,42942,44384,46406
Florida,58434,58843,57908,60782,63871,65928,67127,70167
Georgia,36391,37244,36465,38546,40216,40989,43058,45273
Hawaii,32910,33560,33474,35473,36990,37951,39639,41578
Idaho,39589,40707,40434,42464,44155,45491,47326,49487
Illinois,30567,32090,32797,34318,35928,36535,37833,39587
Indiana,38930,40551,41102,43180,44807,45717,47091,49890
Iowa,33963,35648,35671,37014,38195,39149,40457,42383
Kansas,36963,38661,38967,40183,41309,41461,42304,44965
Kentucky,38431,40738,41232,42067,42489,42636,43627,46057
Louisiana,31258,32373,32281,33753,34925,35361,36588,38075
Maine,35480,36986,37052,38651,39103,38746,39779,42055
Maryland,35710,36500,36086,37649,39063,40020,41603,43909
Massachusetts,45951,47013,46059,47452,49431,51091,52275,55128
Michigan,47699,49709,48765,50755,53624,55453,57826,61147
Minnesota,33780,35110,35029,36652,38611,39648,40841,42979
Mississippi,39907,42158,41606,43625,45097,45883,47345,49902
Missouri,29777,30793,31118,31777,32097,32608,33268,34752
Montana,34579,36249,36090,37341,38286,39422,40653,42647
Nebraska,34583,36388,35975,37341,38728,38989,40439,42627
Nevada,41307,42115,41841,43876,45386,44517,45321,47931
New Hampshire,35142,36034,35174,37372,39528,39975,41805,44046
New Jersey,44412,46524,45811,47369,48987,50333,52026,54991
New Mexico,46911,48849,48470,50776,52593,54033,55873,59180
New York,32108,32833,31913,33853,34807,35352,35979,38068
North Carolina,43820,46223,45675,47379,49056,51369,55197,58005
North Dakota,33029,35194,34100,35781,37089,37727,39137,41049
Ohio,42982,49461,47463,49697,48006,47316,47264,50037
Oklahoma,34941,36387,36573,38104,39411,40039,41472,43579
Oregon,35415,37680,39041,41279,39991,37891,39471,42008
Pennsylvania,33535,35196,35057,37221,39303,40330,41992,44397
Rhode Island,39412,41159,41123,42865,44358,45534,46825,49869
South Carolina,39969,41629,41055,42726,44316,44637,46238,48742
South Dakota,31037,32448,32272,34058,35529,36216,37755,39401
Tennessee,41274,41557,41378,42787,44268,44227,45027,47755
Texas,34860,36452,36285,37460,38927,39853,40956,42922
Utah,37448,39450,39424,41574,41816,41278,43467,45904
Vermont,30936,32591,32840,34403,36338,37563,39045,41278
Virginia,39648,41216,41346,42944,44448,45485,46444,48620
Washington,42145,43985,42848,44504,46154,46738,48162,50627
West Virginia,40567,43471,43494,46268,48030,49670,52165,55452
Wisconsin,30861,31984,31617,32656,33300,33433,34985,37061
Wyoming,36818,38548,38292,39962,41239,41908,43441,45733
