Name,FIPS,"Population Density (per sq. mile), 2017","Population Density (per sq. mile), 2016","Population Density (per sq. mile), 2015","Population Density (per sq. mile), 2014","Population Density (per sq. mile), 2013","Population Density (per sq. mile), 2012","Population Density (per sq. mile), 2011","Median Household Income, 2017","Median Household Income, 2016","Median Household Income, 2015","Median Household Income, 2014","Median Household Income, 2013","Median Household Income, 2012","Median Household Income, 2011","% Education Attainment, High School (Pop 25+), 2017","% Education Attainment, Some College (Pop 25+), 2017","% Education Attainment, High School (Pop 25+), 2016","% Education Attainment, Some College (Pop 25+), 2016","% Education Attainment, High School (Pop 25+), 2015","% Education Attainment, Some College (Pop 25+), 2015","% Education Attainment, High School (Pop 25+), 2014","% Education Attainment, Some College (Pop 25+), 2014","% Education Attainment, High School (Pop 25+), 2013","% Education Attainment, Some College (Pop 25+), 2013","% Education Attainment, High School (Pop 25+), 2012","% Education Attainment, Some College (Pop 25+), 2012","% Education Attainment, High School (Pop 25+), 2011","% Education Attainment, Some College (Pop 25+), 2011","% Housing, Built 2010 or Later, 2017","% Housing, Built 2010 or Later, 2016","% Housing, Built 2010 or Later, 2015","% Housing, Built 2010 or Later, 2014","% Employment, Public Transportation to Work, 2017","% Employment, Public Transportation to Work, 2016","% Employment, Public Transportation to Work, 2015","% Employment, Public Transportation to Work, 2014","% Employment, Public Transportation to Work, 2013","% Employment, Public Transportation to Work, 2012","% Employment, Public Transportation to Work, 2011"
"District of Columbia",11,11213.3,11063,10836.6,10647.8,10399,10221.6,449.3,84461,80414,79968,77296,71009,66705,65874,18.8113,14.5451,19.2139,14.413,18.916,14.8228,18.5009,14.8541,18.804,14.5361,18.3855,13.8768,20.2192,14.4263,19.1938,16.237,10.108,8.6466,38.6162,38.9875,39.361,38.8098,38.3318,39.4746,36.9828
"New Jersey",34,1217.9,1220.2,1217.3,1212.4,1207.8,1201,1197.9,91076,86398,84750,81599,77284,75845,77650,27.8886,17.2679,28.0868,17.299,28.0709,17.4507,28.0594,17.723,28.8328,17.5683,29.1986,17.2364,29.8539,16.828,8.9152,7.4934,3.9907,3.3229,11.3036,11.1311,11.0904,10.755,10.9538,11.0656,10.7408
"Rhode Island",44,1024,1024.4,1023.1,1019.6,1019.3,1016.5,1017.6,72071,68227,66677,64206,61765,61380,63385,27.1898,18.702,27.1864,18.7351,26.8095,18.8326,27.063,18.9056,25.7414,20.046,26.2725,18.9427,28.333,17.4753,8.2333,7.1387,3.1672,3.2807,3.2543,3.185,3.1761,3.0914,3.1119,2.8808,2.8502
Massachusetts,25,875.2,873.3,867.1,860.7,854.1,846.8,843.5,85072,80353,78259,75004,71575,70665,72578,24.8861,16.6082,25.0081,16.6715,25.0381,17.0579,24.8415,17.3297,24.7531,17.1083,25.083,16.5862,26.7781,16.0816,10.7825,9.1396,4.9992,4.1561,9.7894,9.6045,9.6017,9.2683,9.1474,9.4065,9.2631
Connecticut,09,739.2,743,744,744.2,743.3,740.3,740.5,88947,84160,82206,78966,75044,74239,76226,26.85,17.5741,27.0473,17.7783,26.9933,18.0462,27.0458,18.2136,26.62,17.7334,27.6806,18.2163,28.5115,17.1248,8.0443,6.7352,3.7052,3.0991,5.0625,5.041,5.0868,4.7409,4.6281,4.6676,4.5188
Maryland,24,621.3,620.6,617.3,612.6,607.9,602.6,598.3,93778,89220,87719,84609,79321,76401,77280,25.0939,20.0313,25.2777,20.0941,25.316,20.1875,25.4673,20.6209,25.4702,20.6144,25.2185,19.3298,26.621,19.4443,9.7431,8.3098,4.9284,4.1262,9.3234,9.2169,9.1134,8.8941,8.9443,8.8687,8.8587
Delaware,10,490.9,488.1,482.7,477.3,472.6,467.6,1386.2,76682,72689,71181,68646,65174,63588,65415,31.4731,19.8737,31.7822,19.7748,31.8473,19.8089,31.6205,20.5686,30.3694,22.0136,31.7901,21.2307,32.2146,20.1037,10.8162,9.3666,5.5782,4.8376,3.0737,3.1272,3.1262,3.1157,3.579,3.3262,3.1371
"New York",36,419.3,420.7,419.5,417.8,416.1,413.7,411.6,73425,69766,68673,66402,63119,61621,62658,26.0229,16.6495,26.2044,16.699,26.0793,16.9414,25.9404,17.2744,26.2961,16.9433,26.6247,16.6331,28.2812,15.8246,10.0278,8.5519,4.153,3.522,28.5181,28.2547,28.0059,27.569,27.4077,27.617,27.2337
Florida,12,386.7,380.2,372.6,366.3,361.7,357.4,355.5,61846,58355,56871,54499,52581,52924,54677,29.278,21.1813,29.381,21.2298,29.2375,21.5093,29.1069,21.7639,29.5763,21.6778,29.2212,21.3215,30.2917,20.5554,12.7611,10.4629,6.8051,5.402,2.1908,2.1976,2.2391,2.1994,2.0345,1.9319,1.9373
Pennsylvania,42,286.3,287,286.7,286.5,286.5,285.2,285.1,67937,64171,62329,59810,56350,55645,57144,35.5843,16.7741,35.9819,16.8159,36.1125,16.9652,36.2939,17.1695,36.7223,17.3536,36.6589,16.8883,37.6949,15.9215,8.2655,6.8007,3.2724,3.0048,5.7764,5.7077,5.6577,5.5988,5.3778,5.5964,5.4576
